"","k","cv_est"
"1","2",123196.543149121
"2","2",121928.807253328
"3","2",130551.338847949
"4","2",125120.211589763
"5","2",129663.147152037
"6","2",136493.124733534
"7","2",127223.231119893
"8","2",136303.902905088
"9","2",119593.685315082
"10","2",121265.813453664
"11","2",124835.111780331
"12","2",130534.113943828
"13","2",116998.494619249
"14","2",125430.390842342
"15","2",128036.646450062
"16","2",128750.236546818
"17","2",121251.84895479
"18","2",125646.455088995
"19","2",130415.869209142
"20","2",126095.562337542
"21","2",118939.828268529
"22","2",122164.580501646
"23","2",121229.557184361
"24","2",120146.160340952
"25","2",137019.977524183
"26","2",127979.777423941
"27","2",122374.683135629
"28","2",129374.994390649
"29","2",132583.444973281
"30","2",118932.097609399
"31","5",117576.403248927
"32","5",118728.987832652
"33","5",116687.151611861
"34","5",122490.887542677
"35","5",113659.152381209
"36","5",126129.684273928
"37","5",120085.100048648
"38","5",118564.100096793
"39","5",121216.728146916
"40","5",120544.841086771
"41","5",120347.988809256
"42","5",119716.133850514
"43","5",121681.743712833
"44","5",116269.231262972
"45","5",117532.552711
"46","5",115282.545007291
"47","5",121161.990610531
"48","5",119409.436191462
"49","5",120683.701104923
"50","5",119166.321854881
"51","5",127631.302026342
"52","5",117625.220890277
"53","5",119653.356386676
"54","5",122352.493990262
"55","5",121768.113741366
"56","5",121776.945035534
"57","5",117397.414529974
"58","5",114891.810173134
"59","5",108776.793014708
"60","5",119793.140820218
"61","10",119893.233164514
"62","10",122185.747710112
"63","10",122282.382963253
"64","10",118832.377594923
"65","10",122511.985183945
"66","10",117464.904744888
"67","10",123680.650084303
"68","10",118021.733909198
"69","10",118980.797295764
"70","10",120027.39558775
"71","10",119300.675237356
"72","10",121013.324601575
"73","10",122898.473143645
"74","10",117626.494618473
"75","10",116892.994507587
"76","10",119218.299954612
"77","10",117206.948850857
"78","10",118598.649540227
"79","10",116251.468147549
"80","10",122298.07881577
"81","10",119718.949267627
"82","10",117802.063695879
"83","10",122195.000937158
"84","10",119224.05621893
"85","10",119920.179633494
"86","10",113863.170847843
"87","10",118325.010489398
"88","10",120088.252295096
"89","10",122445.031305408
"90","10",121587.738483548
